Genes,FASP_8M_1,FASP_8M_2,FASP_8M_3,Control_1,Control_2,Control_3,Gel_1,Gel_2,Gel_3,FASP_Pellet_1,FASP_Pellet_2,FASP_Pellet_3,SN_1,SN_2,SN_3,Pelletpellet_1,Pelletpellet_2,Pelletpellet_3,Pellet_1,Pellet_2,Pellet_3,FASP_SDS_1,FASP_SDS_2,FASP_SDS_3,DRG_Pelletpellet,Kidney_Pelletpellet,Testes_Pelletpellet,DRG_Pellet,Kidney_Pellet,Testes_Pellet,DRG_Sample,Kidney_Sample,Testes_Sample,DRG_SN,Kidney_SN,Testes_SN,DRG8M,Lung8M,Skin8M,TRPA1_gel,TRPA1_Xeno,TRPV1_gel,TRPV1_Xeno
Pkd2,,,,,,,,,,7822.2,9803.55,,,,,,,,,,,,,,8061.52,,,,,,,,,,8890.45,6679.42,,,,,,,
Mcoln3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47162.2,,,,,,,
Trpc4,,,,,,,,,,158705,228982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trpv1,,,,,,,,,,,,,,,,,,188709,,,,,,,,,,,,,,,,,,,67021.9,,,,,3.68E+07,1.36E+08
Trpv2,,,,218031,219144,225169,192679,223958,155120,448921,518331,361658,,,,174638,165120,252984,,,,,,,,,,,,,,,,,,,171474,,,,,,
Trpv4,,,,,,,,,,,,,,,,,,301554,,,,,,,,,264196,,,,,,,,308723,,,,,,,,
Trpm3,,,,,,,,,,189740,178095,287359,,,,227783,243108,379451,,,,,,,,,,,,,,,,,,,,,,,,,
Trpm7,,,,,,,,,,33964.4,54577,,,,,100389,69645,285075,,,,,,,1.61E+06,,318429,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genes,FASP_8M_1,FASP_8M_2,FASP_8M_3,Control_1,Control_2,Control_3,Gel_1,Gel_2,Gel_3,FASP_Pellet_1,FASP_Pellet_2,FASP_Pellet_3,SN_1,SN_2,SN_3,Pelletpellet_1,Pelletpellet_2,Pelletpellet_3,Pellet_1,Pellet_2,Pellet_3,FASP_SDS_1,FASP_SDS_2,FASP_SDS_3,DRG_Pelletpellet,Kidney_Pelletpellet,Testes_Pelletpellet,DRG_Pellet,Kidney_Pellet,Testes_Pellet,DRG_Sample,Kidney_Sample,Testes_Sample,DRG_SN,Kidney_SN,Testes_SN,DRG8M,Lung8M,Skin8M,TRPA1_gel,TRPA1_Xeno,TRPV1_gel,TRPV1_Xeno
Pkd2,,,,,,,,,,7822.2,9803.55,,,,,,,,,,,,,,8061.52,,,,,,,,,,8890.45,6679.42,,,,,,,
Mcoln3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47162.2,,,,,,,
Trpc4,,,,,,,,,,158705,228982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trpv1,,,,,,,,,,,,,,,,,,188709,,,,,,,,,,,,,,,,,,,67021.9,,,,,3.68E+07,1.36E+08
Trpv2,,,,218031,219144,225169,192679,223958,155120,448921,518331,361658,,,,174638,165120,252984,,,,,,,,,,,,,,,,,,,171474,,,,,,
Trpv4,,,,,,,,,,,,,,,,,,301554,,,,,,,,,264196,,,,,,,,308723,,,,,,,,
Trpm3,,,,,,,,,,189740,178095,287359,,,,227783,243108,379451,,,,,,,,,,,,,,,,,,,,,,,,,
Trpm7,,,,,,,,,,33964.4,54577,,,,,100389,69645,285075,,,,,,,1.61E+06,,318429,,,,,,,,,,,,,,,,
