label,condition,replicate
LFQ Intensity FASP_8M_1.raw,FASP_8M,1
LFQ Intensity FASP_8M_2.raw,FASP_8M,2
LFQ Intensity FASP_8M_3.raw,FASP_8M,3
LFQ Intensity Control_1.raw,Control,1
LFQ Intensity Gel_1.raw,Gel,1
LFQ Intensity FASP_Pellet_1.raw,FASP_Pellet,1
LFQ Intensity SN_1.raw,SN,1
LFQ Intensity Control_2.raw,Control,2
LFQ Intensity Gel_2.raw,Gel,2
LFQ Intensity FASP_Pellet_2.raw,FASP_Pellet,2
LFQ Intensity SN_2.raw,SN,2
LFQ Intensity Control_3.raw,Control,3
LFQ Intensity Gel_3.raw,Gel,3
LFQ Intensity FASP_Pellet_3.raw,FASP_Pellet,3
LFQ Intensity SN_3.raw,SN,3
LFQ Intensity Pelletpellet_1.raw,Pelletpellet,1
LFQ Intensity Pelletpellet_2.raw,Pelletpellet,2
LFQ Intensity Pelletpellet_3.raw,Pelletpellet,3
LFQ Intensity Pellet_1.raw,Pellet,1
LFQ Intensity Pellet_2.raw,Pellet,2
LFQ Intensity Pellet_3.raw,Pellet,3
LFQ Intensity DRG_Pelletpellet.raw,OrganPelletpellet,1
LFQ Intensity DRG8M.raw,OrganFASP_8M,1
LFQ Intensity DRG_Pellet.raw,OrganPellet,1
LFQ Intensity DRG_Sample.raw,OrganControl,1
LFQ Intensity DRG_SN.raw,OrganSN,1
LFQ Intensity Kidney_Pellet.raw,OrganPellet,2
LFQ Intensity Kidney_Sample.raw,OrganControl,2
LFQ Intensity Kidney_SN.raw,OrganSN,2
LFQ Intensity Lung8M.raw,OrganFASP_8M,2
LFQ Intensity FASP_SDS_1.raw,FASP_SDS,1
LFQ Intensity FASP_SDS_2.raw,FASP_SDS,2
LFQ Intensity FASP_SDS_3.raw,FASP_SDS,3
LFQ Intensity Skin8M.raw,OrganFASP_8M,3
LFQ Intensity Testes_Pelletpellet.raw,OrganPelletpellet,3
LFQ Intensity Testes_Pellet.raw,OrganPellet,3
LFQ Intensity Testes_Sample.raw,OrganControl,3
LFQ Intensity Testes_SN.raw,OrganSN,3
LFQ Intensity TRPA1_gel.raw,TRPA1_gel,1
LFQ Intensity TRPA1_Xeno.raw,TRPA1_Xeno,1
LFQ Intensity TRPV1_gel.raw,TRPV1_gel,2
LFQ Intensity TRPV1_Xeno.raw,TRPV1_Xeno,2
